"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","0"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","0"
"4",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","0"
"5",1,"Justin Jefferson",MIN,"WR4","6","3 out of 5 stars","0"
"6",1,"Bijan Robinson",ATL,"RB2","12","4 out of 5 stars","0"
"7",1,"Amon-Ra St. Brown",DET,"WR5","5","4 out of 5 stars","+1"
"8",1,"Breece Hall",NYJ,"RB3","12","2 out of 5 stars","-1"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","0"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+1"
"11",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","-1"
"12",2,"Jonathan Taylor",IND,"RB4","14","2 out of 5 stars","0"
"13",2,"Jahmyr Gibbs",DET,"RB5","5","3 out of 5 stars","0"
"14",2,"Saquon Barkley",PHI,"RB6","5","4 out of 5 stars","0"
"15",3,"Davante Adams",LV,"WR9","10","3 out of 5 stars","0"
"16",3,"Marvin Harrison Jr.",ARI,"WR10","11","3 out of 5 stars","0"
"17",3,"Chris Olave",NO,"WR11","12","3 out of 5 stars","0"
"18",3,"Travis Etienne Jr.",JAC,"RB7","12","2 out of 5 stars","+7"
"19",3,"Brandon Aiyuk",SF,"WR12","9","2 out of 5 stars","+8"
"20",3,"Derrick Henry",BAL,"RB8","14","3 out of 5 stars","+4"
"21",3,"Kyren Williams",LAR,"RB9","6","3 out of 5 stars","-1"
"22",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+1"
"23",3,"Drake London",ATL,"WR13","12","4 out of 5 stars","-5"
"24",3,"Mike Evans",TB,"WR14","11","3 out of 5 stars","+5"
"25",3,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+7"
"26",3,"Deebo Samuel Sr.",SF,"WR15","9","2 out of 5 stars","-4"
"27",3,"Travis Kelce",KC,"TE1","6","3 out of 5 stars","+7"
"28",3,"Nico Collins",HOU,"WR16","14","3 out of 5 stars","-9"
"29",4,"Isiah Pacheco",KC,"RB10","6","3 out of 5 stars","+9"
"30",4,"Jaylen Waddle",MIA,"WR17","6","2 out of 5 stars","-2"
"31",4,"Sam LaPorta",DET,"TE2","5","3 out of 5 stars","-5"
"32",4,"DJ Moore",CHI,"WR18","7","4 out of 5 stars","+1"
"33",4,"De'Von Achane",MIA,"RB11","6","3 out of 5 stars","-12"
"34",4,"DK Metcalf",SEA,"WR19","10","3 out of 5 stars","+1"
"35",4,"Michael Pittman Jr.",IND,"WR20","14","4 out of 5 stars","-5"
"36",4,"Lamar Jackson",BAL,"QB3","14","4 out of 5 stars","+5"
"37",4,"Patrick Mahomes II",KC,"QB4","6","3 out of 5 stars","+3"
"38",4,"Rachaad White",TB,"RB12","11","5 out of 5 stars","+5"
"39",4,"DeVonta Smith",PHI,"WR21","5","2 out of 5 stars","-2"
"40",4,"Cooper Kupp",LAR,"WR22","6","3 out of 5 stars","-9"
"41",4,"Josh Jacobs",GB,"RB13","10","1 out of 5 stars","-2"
"42",4,"Amari Cooper",CLE,"WR23","10","3 out of 5 stars","+3"
"43",4,"Joe Mixon",HOU,"RB14","14","3 out of 5 stars","+8"
"44",4,"James Cook",BUF,"RB15","12","2 out of 5 stars","+3"
"45",4,"Stefon Diggs",HOU,"WR24","14","3 out of 5 stars","-9"
"46",5,"Kenneth Walker III",SEA,"RB16","10","4 out of 5 stars","+9"
"47",5,"Anthony Richardson",IND,"QB5","14","5 out of 5 stars","+6"
"48",5,"Tee Higgins",CIN,"WR25","12","2 out of 5 stars","+2"
"49",5,"Mark Andrews",BAL,"TE3","14","3 out of 5 stars","0"
"50",5,"Malik Nabers",NYG,"WR26","11","3 out of 5 stars","-8"
"51",5,"George Pickens",PIT,"WR27","9","1 out of 5 stars","-3"
"52",5,"Trey McBride",ARI,"TE4","11","5 out of 5 stars","-8"
"53",5,"Alvin Kamara",NO,"RB17","12","5 out of 5 stars","+5"
"54",5,"C.J. Stroud",HOU,"QB6","14","2 out of 5 stars","+3"
"55",5,"Zay Flowers",BAL,"WR28","14","3 out of 5 stars","-9"
"56",5,"Christian Kirk",JAC,"WR29","12","4 out of 5 stars","0"
"57",5,"Tank Dell",HOU,"WR30","14","3 out of 5 stars","-3"
"58",5,"Aaron Jones",MIN,"RB18","6","3 out of 5 stars","+8"
"59",5,"Terry McLaurin",WAS,"WR31","14","3 out of 5 stars","+1"
"60",5,"Joe Burrow",CIN,"QB7","12","2 out of 5 stars","+10"
"61",5,"David Montgomery",DET,"RB19","5","3 out of 5 stars","+15"
"62",5,"Dak Prescott",DAL,"QB8","7","2 out of 5 stars","+9"
"63",5,"Keenan Allen",CHI,"WR32","7","4 out of 5 stars","-4"
"64",5,"Rhamondre Stevenson",NE,"RB20","14","2 out of 5 stars","-1"
"65",5,"Kyler Murray",ARI,"QB9","11","2 out of 5 stars","+7"
"66",5,"James Conner",ARI,"RB21","11","2 out of 5 stars","+15"
"67",5,"Dalton Kincaid",BUF,"TE5","12","2 out of 5 stars","-15"
"68",6,"Calvin Ridley",TEN,"WR33","5","4 out of 5 stars","-3"
"69",6,"Chris Godwin",TB,"WR34","11","3 out of 5 stars","-7"
"70",6,"Zamir White",LV,"RB22","10","3 out of 5 stars","+10"
"71",6,"Najee Harris",PIT,"RB23","9","4 out of 5 stars","-2"
"72",6,"Jayden Reed",GB,"WR35","10","4 out of 5 stars","-8"
"73",6,"D'Andre Swift",CHI,"RB24","7","2 out of 5 stars","+4"
"74",6,"Jordan Love",GB,"QB10","10","5 out of 5 stars","+1"
"75",6,"Raheem Mostert",MIA,"RB25","6","3 out of 5 stars","+13"
"76",6,"DeAndre Hopkins",TEN,"WR36","5","4 out of 5 stars","+3"
"77",6,"George Kittle",SF,"TE6","9","4 out of 5 stars","-3"
"78",6,"Diontae Johnson",CAR,"WR37","11","5 out of 5 stars","0"
"79",6,"Tony Pollard",TEN,"RB26","5","3 out of 5 stars","+11"
"80",6,"Kyle Pitts",ATL,"TE7","12","3 out of 5 stars","-19"
"81",6,"Rashee Rice",KC,"WR38","6","3 out of 5 stars","-8"
"82",6,"Brock Purdy",SF,"QB11","9","2 out of 5 stars","+11"
"83",6,"Hollywood Brown",KC,"WR39","6","3 out of 5 stars","-15"
"84",6,"Jaylen Warren",PIT,"RB27","9","4 out of 5 stars","0"
"85",6,"Evan Engram",JAC,"TE8","12","3 out of 5 stars","-18"
"86",6,"Zack Moss",CIN,"RB28","12","3 out of 5 stars","-3"
"87",6,"Brian Robinson Jr.",WAS,"RB29","14","3 out of 5 stars","+13"
"88",6,"Javonte Williams",DEN,"RB30","14","4 out of 5 stars","+9"
"89",6,"Jordan Addison",MIN,"WR40","6","3 out of 5 stars","-4"
"90",7,"Jayden Daniels",WAS,"QB12","14","3 out of 5 stars","+6"
"91",7,"Christian Watson",GB,"WR41","10","4 out of 5 stars","-9"
"92",7,"Tua Tagovailoa",MIA,"QB13","6","2 out of 5 stars","+16"
"93",7,"David Njoku",CLE,"TE9","10","3 out of 5 stars","+2"
"94",7,"Xavier Worthy",KC,"WR42","6","3 out of 5 stars","-2"
"95",7,"Jaxon Smith-Njigba",SEA,"WR43","10","3 out of 5 stars","-4"
"96",7,"Jared Goff",DET,"QB14","5","4 out of 5 stars","+8"
"97",7,"Jake Ferguson",DAL,"TE10","7","2 out of 5 stars","-11"
"98",7,"Devin Singletary",NYG,"RB31","11","3 out of 5 stars","0"
"99",7,"Courtland Sutton",DEN,"WR44","14","2 out of 5 stars","+6"
"100",7,"Caleb Williams",CHI,"QB15","7","4 out of 5 stars","+9"
"101",7,"Jonathon Brooks",CAR,"RB32","11","4 out of 5 stars","-12"
"102",7,"Tyjae Spears",TEN,"RB33","5","3 out of 5 stars","0"
"103",7,"Trevor Lawrence",JAC,"QB16","12","5 out of 5 stars","+7"
"104",7,"Justin Herbert",LAC,"QB17","5","2 out of 5 stars","+9"
"105",7,"Austin Ekeler",WAS,"RB34","14","3 out of 5 stars","-6"
