"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1","Marvin Harrison Jr.",ARI,"WR1","1","1","1.0","0.0"
"2","Malik Nabers",NYG,"WR2","2","2","2.0","0.0"
"3","Rome Odunze",CHI,"WR3","3","5","3.6","0.7"
"4","Brock Bowers",LV,"TE1","3","6","4.4","1.0"
"5","Caleb Williams",CHI,"QB1","5","10","6.9","2.2"
"6","Xavier Worthy",KC,"WR4","5","11","7.1","1.8"
"7","Brian Thomas Jr.",JAC,"WR5","5","10","7.4","1.6"
"8","Jonathon Brooks",CAR,"RB1","7","11","8.3","1.5"
"9","Ladd McConkey",LAC,"WR6","5","11","9.0","1.9"
"10","Jayden Daniels",WAS,"QB2","6","15","9.8","3.4"
"11","Keon Coleman",BUF,"WR7","8","13","10.6","1.6"
"12","Trey Benson",ARI,"RB2","8","18","11.8","2.7"
"13","Ricky Pearsall",SF,"WR8","11","21","14.1","3.1"
"14","J.J. McCarthy",MIN,"QB3","12","21","16.4","3.1"
"15","Blake Corum",LAR,"RB3","13","22","16.9","2.6"
"16","Jaylen Wright",MIA,"RB4","14","26","18.0","3.8"
"17","Adonai Mitchell",IND,"WR9","15","21","18.0","1.9"
"18","MarShawn Lloyd",GB,"RB5","15","24","18.8","2.8"
"19","Drake Maye",NE,"QB4","14","25","19.5","4.0"
"20","Xavier Legette",CAR,"WR10","13","35","20.8","7.2"
"21","Jermaine Burton",CIN,"WR11","15","25","20.8","3.4"
"22","Ben Sinnott",WAS,"TE2","18","26","22.0","2.5"
"23","Ja'Lynn Polk",NE,"WR12","16","31","23.0","4.6"
"24","Troy Franklin",DEN,"WR13","14","30","24.1","4.9"
"25","Malachi Corley",NYJ,"WR14","17","33","24.6","5.0"
"26","Roman Wilson",PIT,"WR15","20","34","25.1","5.4"
"27","Bo Nix",DEN,"QB5","22","32","25.5","3.0"
"28","Ray Davis",BUF,"RB6","23","31","27.8","2.4"
"29","Bucky Irving",TB,"RB7","23","37","30.9","4.7"
"30","Jalen McMillan",TB,"WR16","26","35","31.3","2.9"
