,Season,Week,Logo1,Name1,Abbrev1,Wins1,Losses1,Ties1,Score1,CurrentStatsTotal1,Logo2,Name2,Abbrev2,Wins2,Losses2,Ties2,Score2,CurrentStatsTotal2,Type
0,2018,1,https://imageshack.com/a/img921/8492/jQlkYN.jpg,The Queijo Coalho,QUEI,9,4,0,98.0,,http://imagizer.imageshack.us/a/img922/1025/Qt8enM.jpg,Team Britto,BRIT,8,5,0,91.6,,Regular
1,2018,1,http://g.espncdn.com/s/ffllm/logos/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg,Hellcife Mottinha,MOTT,5,8,0,124.7,,http://g.espncdn.com/s/ffllm/logos/MickeyAndDonald-Disney/Disney-08.svg,KAISER TROOPERS,KATO,8,5,0,101.1,,Regular
2,2018,1,http://imagizer.imageshack.us/a/img921/8576/U6F9Jw.jpg,Rosa Patriota,Rosa,5,8,0,71.8,,http://2.bp.blogspot.com/-zstn9mJPVJE/TymqfH_hN6I/AAAAAAAAAgA/ughMAoBPn4s/s1600/anti+brady.jpg,Anti-Brady Team,ABT,2,11,0,49.3,,Regular
3,2018,1,http://i63.tinypic.com/dpx2ck.jpg,Valter Figueiredu's ,KAIO,9,4,0,79.5,,http://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_12a.svg,Team Maia,MAIA,9,4,0,86.9,,Regular
4,2018,1,https://cdn-std.dprcdn.net/files/acc_464038/pbLQg8,Bonus Team,BT,7,6,0,101.0,,http://g.espncdn.com/s/ffllm/logos/BoneHeads-ToddDetwiler/BoneHeads-09.svg,Carpina Carpenters,Carp,5,8,0,62.2,,Regular
5,2018,1,https://scontent.frec5-1.fna.fbcdn.net/v/t1.0-9/42647793_1911801742231791_8353841562588807168_n.jpg?_nc_cat=111&oh=3751fb0c891ed5b59aded4c707712f08&oe=5C1DF581,Recife Burilzords,BZDS,9,4,0,82.5,,https://imageshack.com/a/img923/4306/Sll1KD.jpg,Maria Farinha Green n Gold,MFGG,2,11,0,103.8,,Regular
6,2018,1,http://g.espncdn.com/lm-static/logo-packs/core/StarsAndFlames/stars_flames-2.svg,CDU Steamers,STM,4,9,0,57.7,,http://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-27.svg,Curado Sport Saints,CSS,9,4,0,101.5,,Regular
7,2018,1,http://i64.tinypic.com/2qbgf3t.png,Recife Eulers,JOAO,7,6,0,104.5,,https://uploaddeimagens.com.br/images/001/725/567/full/logo.jpg?1542139515,Team Otavio,OTAV,6,7,0,75.3,,Regular
8,2018,2,https://imageshack.com/a/img921/8492/jQlkYN.jpg,The Queijo Coalho,QUEI,9,4,0,107.8,,http://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_12a.svg,Team Maia,MAIA,9,4,0,67.8,,Regular
9,2018,2,http://imagizer.imageshack.us/a/img922/1025/Qt8enM.jpg,Team Britto,BRIT,8,5,0,125.6,,http://imagizer.imageshack.us/a/img921/8576/U6F9Jw.jpg,Rosa Patriota,Rosa,5,8,0,69.2,,Regular
10,2018,2,http://g.espncdn.com/s/ffllm/logos/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg,Hellcife Mottinha,MOTT,5,8,0,78.9,,http://2.bp.blogspot.com/-zstn9mJPVJE/TymqfH_hN6I/AAAAAAAAAgA/ughMAoBPn4s/s1600/anti+brady.jpg,Anti-Brady Team,ABT,2,11,0,35.0,,Regular
11,2018,2,http://g.espncdn.com/s/ffllm/logos/MickeyAndDonald-Disney/Disney-08.svg,KAISER TROOPERS,KATO,8,5,0,92.3,,http://i63.tinypic.com/dpx2ck.jpg,Valter Figueiredu's ,KAIO,9,4,0,118.4,,Regular
12,2018,2,https://imageshack.com/a/img923/4306/Sll1KD.jpg,Maria Farinha Green n Gold,MFGG,2,11,0,72.9,,http://i64.tinypic.com/2qbgf3t.png,Recife Eulers,JOAO,7,6,0,116.8,,Regular
13,2018,2,https://cdn-std.dprcdn.net/files/acc_464038/pbLQg8,Bonus Team,BT,7,6,0,108.6,,https://uploaddeimagens.com.br/images/001/725/567/full/logo.jpg?1542139515,Team Otavio,OTAV,6,7,0,120.2,,Regular
14,2018,2,https://scontent.frec5-1.fna.fbcdn.net/v/t1.0-9/42647793_1911801742231791_8353841562588807168_n.jpg?_nc_cat=111&oh=3751fb0c891ed5b59aded4c707712f08&oe=5C1DF581,Recife Burilzords,BZDS,9,4,0,77.3,,http://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-27.svg,Curado Sport Saints,CSS,9,4,0,63.2,,Regular
15,2018,2,http://g.espncdn.com/s/ffllm/logos/BoneHeads-ToddDetwiler/BoneHeads-09.svg,Carpina Carpenters,Carp,5,8,0,66.5,,http://g.espncdn.com/lm-static/logo-packs/core/StarsAndFlames/stars_flames-2.svg,CDU Steamers,STM,4,9,0,56.0,,Regular
16,2018,3,http://g.espncdn.com/s/ffllm/logos/MickeyAndDonald-Disney/Disney-08.svg,KAISER TROOPERS,KATO,8,5,0,71.1,,https://imageshack.com/a/img921/8492/jQlkYN.jpg,The Queijo Coalho,QUEI,9,4,0,69.3,,Regular
17,2018,3,http://imagizer.imageshack.us/a/img922/1025/Qt8enM.jpg,Team Britto,BRIT,8,5,0,106.4,,http://g.espncdn.com/s/ffllm/logos/AtTheStadium-RobbHarskamp/At_The_Stadium_01.svg,Hellcife Mottinha,MOTT,5,8,0,60.9,,Regular
18,2018,3,http://g.espncdn.com/s/ffllm/logos/StarWarsTheForceAwakens-ToddDetwiler/ESPN_Star_Wars_12a.svg,Team Maia,MAIA,9,4,0,82.7,,http://imagizer.imageshack.us/a/img921/8576/U6F9Jw.jpg,Rosa Patriota,Rosa,5,8,0,50.7,,Regular
19,2018,3,http://2.bp.blogspot.com/-zstn9mJPVJE/TymqfH_hN6I/AAAAAAAAAgA/ughMAoBPn4s/s1600/anti+brady.jpg,Anti-Brady Team,ABT,2,11,0,47.0,,http://i63.tinypic.com/dpx2ck.jpg,Valter Figueiredu's ,KAIO,9,4,0,101.8,,Regular
20,2018,3,https://imageshack.com/a/img923/4306/Sll1KD.jpg,Maria Farinha Green n Gold,MFGG,2,11,0,71.9,,https://cdn-std.dprcdn.net/files/acc_464038/pbLQg8,Bonus Team,BT,7,6,0,88.7,,Regular
21,2018,3,http://g.espncdn.com/lm-static/logo-packs/ffl/TeamKinny-MartinLaksman/TeamKinny-27.svg,Curado Sport Saints,CSS,9,4,0,146.9,,http://i64.tinypic.com/2qbgf3t.png,Recife Eulers,JOAO,7,6,0,84.9,,Regular
